epoch,time(s),train_loss,test_loss,test_error(%)
001,00047,1.938318,0.00174,59.77
002,00047,1.815624,0.00160,56.09
003,00047,1.777494,0.00155,54.40
004,00047,1.692847,0.00147,51.96
005,00047,1.668596,0.00143,50.98
006,00047,1.625823,0.00138,48.94
007,00047,1.589497,0.00136,47.58
008,00047,1.552884,0.00133,46.32
009,00047,1.542972,0.00130,45.31
010,00046,1.514465,0.00127,44.36
011,00047,1.492684,0.00126,43.68
012,00046,1.481912,0.00125,43.11
013,00046,1.462825,0.00122,42.95
014,00046,1.440438,0.00122,41.95
015,00046,1.408097,0.00119,41.72
016,00046,1.406804,0.00119,41.34
017,00046,1.435780,0.00117,40.54
018,00047,1.338495,0.00115,39.81
019,00047,1.374941,0.00114,39.73
020,00046,1.375354,0.00113,38.95
021,00046,1.341547,0.00112,38.76
022,00046,1.345837,0.00110,38.17
023,00046,1.302741,0.00109,37.38
024,00046,1.281669,0.00109,37.87
025,00046,1.276708,0.00106,36.85
026,00046,1.290944,0.00106,37.07
027,00046,1.247575,0.00105,36.36
028,00046,1.266762,0.00104,36.29
029,00046,1.194268,0.00102,35.19
030,00046,1.195468,0.00102,35.24
031,00046,1.207538,0.00100,34.43
032,00046,1.189269,0.00100,34.45
033,00046,1.204581,0.00100,34.06
034,00046,1.173892,0.00099,34.26
035,00046,1.184301,0.00097,33.22
036,00046,1.203458,0.00097,33.57
037,00046,1.117610,0.00096,33.08
038,00046,1.136878,0.00096,33.12
039,00046,1.150791,0.00095,32.10
040,00046,1.101141,0.00093,32.19
041,00046,1.112325,0.00093,31.77
042,00047,1.104538,0.00093,31.46
043,00046,1.106903,0.00091,31.11
044,00046,1.085464,0.00091,31.27
045,00046,1.086556,0.00090,30.89
046,00046,1.052005,0.00089,30.76
047,00046,1.093878,0.00091,31.88
048,00046,1.046840,0.00089,30.55
049,00046,1.076469,0.00088,30.07
050,00046,1.049801,0.00087,30.26
051,00046,1.049332,0.00087,29.95
052,00046,1.026061,0.00087,29.93
053,00047,1.007492,0.00086,29.75
054,00047,1.002391,0.00085,29.63
055,00046,1.004667,0.00086,29.50
056,00046,0.973054,0.00084,29.22
057,00046,1.006009,0.00084,29.13
058,00046,1.009985,0.00084,29.16
059,00046,1.022059,0.00083,28.91
060,00046,0.974020,0.00083,29.11
061,00046,1.007298,0.00083,29.07
062,00046,0.957843,0.00083,29.12
063,00046,0.929438,0.00082,28.51
064,00046,0.940603,0.00082,28.72
065,00046,0.939339,0.00082,28.31
066,00046,0.971380,0.00082,28.49
067,00046,0.937460,0.00081,28.31
068,00046,0.952565,0.00082,28.59
069,00046,0.929911,0.00081,28.32
070,00046,0.915042,0.00081,28.38
071,00046,0.942249,0.00081,27.78
072,00046,0.910817,0.00081,28.04
073,00046,0.889676,0.00081,28.16
074,00046,0.952604,0.00080,28.05
075,00046,0.921701,0.00080,27.81
076,00046,0.889226,0.00080,27.95
077,00046,0.892068,0.00080,27.66
078,00046,0.874018,0.00080,28.00
079,00046,0.907155,0.00080,27.58
080,00046,0.916960,0.00079,27.50
081,00046,0.904040,0.00079,27.68
082,00046,0.879393,0.00079,27.58
083,00046,0.928741,0.00079,27.61
084,00046,0.884463,0.00079,27.49
085,00047,0.879297,0.00079,27.40
086,00046,0.882697,0.00079,27.52
087,00046,0.903211,0.00079,27.59
088,00046,0.870064,0.00079,27.53
089,00046,0.872787,0.00079,27.50
090,00046,0.855876,0.00079,27.45
091,00046,0.908970,0.00079,27.52
092,00046,0.838875,0.00079,27.50
093,00046,0.885068,0.00079,27.48
094,00046,0.894898,0.00079,27.49
095,00000,0.000000,0.00000,32.42
