epoch,time(s),train_loss,test_loss,test_error(%)
001,00056,0.730989,0.00044,13.39
002,00052,0.611427,0.00036,11.20
003,00051,0.574348,0.00031,9.76
004,00053,0.497724,0.00030,9.65
005,00049,0.478051,0.00027,8.66
006,00053,0.483267,0.00026,8.49
007,00049,0.431484,0.00025,8.26
008,00052,0.389502,0.00024,8.02
009,00052,0.374865,0.00023,7.92
010,00050,0.411320,0.00023,7.75
011,00050,0.344944,0.00022,7.29
012,00050,0.341496,0.00022,7.21
013,00051,0.341606,0.00021,6.90
014,00052,0.361287,0.00021,7.11
015,00051,0.298357,0.00021,7.06
016,00052,0.295088,0.00020,7.02
017,00053,0.284239,0.00020,6.71
018,00053,0.302104,0.00020,7.00
019,00050,0.259379,0.00020,6.79
020,00050,0.279181,0.00021,7.04
021,00049,0.248118,0.00020,6.92
022,00053,0.286803,0.00020,6.68
023,00053,0.249089,0.00021,6.94
024,00051,0.247487,0.00020,6.85
025,00049,0.229363,0.00019,6.59
026,00054,0.243067,0.00020,6.54
027,00053,0.234618,0.00020,6.95
028,00055,0.201539,0.00019,6.44
029,00053,0.237138,0.00020,6.60
030,00053,0.202161,0.00019,6.51
031,00053,0.177424,0.00019,6.26
032,00052,0.199192,0.00019,6.36
033,00050,0.189458,0.00020,6.45
034,00051,0.183875,0.00019,6.31
035,00052,0.183784,0.00019,6.31
036,00052,0.174921,0.00019,6.21
037,00053,0.149177,0.00019,6.12
038,00054,0.163223,0.00020,6.42
039,00052,0.181920,0.00020,6.22
040,00054,0.156929,0.00020,6.49
041,00053,0.171150,0.00019,6.19
042,00053,0.152870,0.00020,6.06
043,00053,0.153179,0.00020,6.01
044,00054,0.136652,0.00020,6.11
045,00053,0.141924,0.00021,6.22
046,00050,0.130371,0.00020,6.11
047,00052,0.123315,0.00021,6.19
048,00053,0.125587,0.00020,6.10
049,00053,0.135205,0.00021,6.25
050,00054,0.141334,0.00021,6.12
051,00051,0.136260,0.00022,6.41
052,00054,0.113460,0.00021,6.03
053,00051,0.109182,0.00021,6.29
054,00053,0.131222,0.00020,6.03
055,00053,0.121715,0.00021,6.13
056,00052,0.103750,0.00022,6.04
057,00050,0.115814,0.00022,6.24
058,00051,0.118311,0.00021,5.89
059,00049,0.089153,0.00022,6.12
060,00052,0.113945,0.00022,6.09
061,00051,0.098123,0.00021,6.04
062,00050,0.087949,0.00022,6.07
063,00054,0.079406,0.00022,6.01
064,00052,0.101672,0.00022,5.91
065,00052,0.125977,0.00023,5.80
066,00053,0.101315,0.00023,5.96
067,00054,0.097010,0.00022,6.15
068,00054,0.088818,0.00022,5.95
069,00053,0.085023,0.00023,5.96
070,00054,0.080445,0.00022,5.88
071,00052,0.081389,0.00023,5.77
072,00054,0.102724,0.00023,5.77
073,00053,0.076184,0.00023,5.94
074,00051,0.077399,0.00023,5.85
075,00050,0.072142,0.00023,5.87
076,00051,0.085269,0.00023,5.85
077,00053,0.103665,0.00023,5.82
078,00052,0.079254,0.00023,5.80
079,00054,0.056666,0.00023,5.75
080,00049,0.086439,0.00023,5.83
081,00053,0.077134,0.00023,5.82
082,00052,0.061447,0.00023,5.92
083,00051,0.101613,0.00023,5.93
084,00054,0.070483,0.00023,5.83
085,00049,0.082129,0.00023,5.80
086,00054,0.083503,0.00023,5.80
087,00052,0.070159,0.00023,5.78
088,00048,0.072183,0.00023,5.82
089,00054,0.075867,0.00023,5.82
090,00053,0.058998,0.00023,5.84
091,00049,0.076643,0.00023,5.81
092,00052,0.069448,0.00023,5.80
093,00048,0.068843,0.00023,5.80
094,00048,0.063401,0.00023,5.80
095,00000,0.000000,0.00000,12.23
