epoch,time(s),train_loss,test_loss,test_error(%)
001,00047,1.987172,0.00175,61.53
002,00046,1.819628,0.00159,56.41
003,00046,1.722553,0.00148,52.59
004,00045,1.614480,0.00141,49.42
005,00045,1.584903,0.00133,46.35
006,00046,1.520921,0.00127,44.74
007,00045,1.459787,0.00123,42.49
008,00045,1.448935,0.00118,40.80
009,00046,1.414542,0.00114,39.32
010,00046,1.367934,0.00111,38.35
011,00046,1.342591,0.00108,36.92
012,00046,1.321160,0.00106,36.16
013,00046,1.266350,0.00102,34.75
014,00046,1.254956,0.00099,33.79
015,00045,1.282670,0.00098,33.56
016,00045,1.245221,0.00096,32.59
017,00045,1.191958,0.00094,32.15
018,00045,1.189919,0.00093,31.02
019,00046,1.176899,0.00091,30.88
020,00046,1.139080,0.00089,30.15
021,00046,1.157947,0.00089,29.95
022,00046,1.154032,0.00087,28.99
023,00045,1.141390,0.00086,29.01
024,00046,1.084886,0.00084,28.67
025,00046,1.067328,0.00084,28.38
026,00046,1.031450,0.00083,28.13
027,00046,1.071974,0.00082,27.57
028,00046,1.080179,0.00081,27.31
029,00046,1.077154,0.00081,27.20
030,00046,1.025114,0.00080,27.04
031,00045,1.041927,0.00079,26.51
032,00046,1.017670,0.00078,26.42
033,00046,1.016111,0.00077,26.41
034,00046,1.022427,0.00077,25.95
035,00045,1.012557,0.00077,26.10
036,00045,0.951275,0.00075,24.97
037,00045,0.981919,0.00075,25.19
038,00046,0.983402,0.00075,25.21
039,00045,0.946174,0.00074,24.78
040,00046,0.958808,0.00073,24.74
041,00045,0.969793,0.00073,24.62
042,00046,0.909741,0.00072,24.01
043,00045,0.881903,0.00072,24.31
044,00045,0.934412,0.00071,24.13
045,00045,0.917114,0.00071,24.21
046,00046,0.943527,0.00071,23.88
047,00045,0.920849,0.00070,23.89
048,00046,0.864076,0.00070,23.52
049,00046,0.906890,0.00070,23.45
050,00045,0.902290,0.00070,23.86
051,00046,0.882160,0.00069,23.31
052,00046,0.873586,0.00069,23.26
053,00045,0.874025,0.00069,22.74
054,00045,0.867690,0.00068,22.94
055,00045,0.873721,0.00068,23.27
056,00045,0.867581,0.00068,22.89
057,00046,0.888467,0.00068,22.89
058,00046,0.879424,0.00067,22.89
059,00046,0.826098,0.00067,22.63
060,00046,0.876639,0.00067,22.53
061,00045,0.820992,0.00067,22.69
062,00045,0.856900,0.00066,22.98
063,00045,0.868959,0.00066,22.36
064,00046,0.841288,0.00066,22.32
065,00045,0.859959,0.00066,22.24
066,00045,0.806027,0.00066,22.36
067,00045,0.809261,0.00066,22.31
068,00045,0.813167,0.00066,22.38
069,00046,0.839622,0.00065,22.05
070,00046,0.836316,0.00065,22.52
071,00045,0.796748,0.00065,22.03
072,00045,0.818073,0.00065,22.06
073,00046,0.750410,0.00065,21.98
074,00046,0.818282,0.00065,22.02
075,00046,0.824189,0.00065,21.82
076,00045,0.849576,0.00065,21.81
077,00046,0.797066,0.00065,21.74
078,00045,0.802932,0.00065,21.74
079,00046,0.769480,0.00065,21.85
080,00045,0.814029,0.00065,21.83
081,00045,0.797442,0.00064,21.80
082,00046,0.829967,0.00065,22.01
083,00045,0.795383,0.00065,21.85
084,00045,0.786361,0.00065,21.76
085,00046,0.793860,0.00064,21.70
086,00045,0.795163,0.00064,21.70
087,00046,0.773776,0.00065,21.70
088,00045,0.810622,0.00064,21.77
089,00045,0.823147,0.00064,21.74
090,00045,0.797637,0.00064,21.78
091,00045,0.792015,0.00064,21.78
092,00046,0.806936,0.00064,21.61
093,00046,0.801114,0.00064,21.80
094,00046,0.800521,0.00064,21.74
095,00000,0.000000,0.00000,27.97
