epoch,time(s),train_loss,test_loss,test_error(%)
001,00047,1.500593,0.00118,38.90
002,00046,1.205663,0.00091,28.67
003,00046,1.067401,0.00079,25.57
004,00046,1.049712,0.00073,23.42
005,00046,0.963940,0.00069,22.12
006,00046,0.937070,0.00065,21.04
007,00046,0.895555,0.00064,20.75
008,00046,0.866605,0.00059,19.28
009,00046,0.829212,0.00058,18.78
010,00046,0.819308,0.00056,18.37
011,00046,0.805460,0.00055,17.93
012,00046,0.799150,0.00054,17.83
013,00046,0.768273,0.00052,17.02
014,00046,0.738859,0.00053,17.11
015,00046,0.702395,0.00051,16.95
016,00046,0.706558,0.00050,16.01
017,00046,0.697277,0.00049,16.14
018,00046,0.724421,0.00049,15.88
019,00046,0.680083,0.00049,16.22
020,00046,0.668455,0.00047,15.46
021,00046,0.669108,0.00047,15.57
022,00046,0.641669,0.00047,15.17
023,00046,0.641767,0.00047,15.45
024,00046,0.657065,0.00046,15.18
025,00046,0.642691,0.00045,14.91
026,00046,0.626529,0.00045,14.87
027,00046,0.637204,0.00045,14.68
028,00046,0.644568,0.00045,14.70
029,00046,0.629141,0.00044,14.53
030,00046,0.595824,0.00044,14.48
031,00046,0.598228,0.00044,14.76
032,00046,0.592094,0.00043,14.43
033,00046,0.580260,0.00043,14.49
034,00046,0.568610,0.00043,14.15
035,00045,0.563373,0.00043,14.43
036,00046,0.573135,0.00043,14.42
037,00046,0.541108,0.00042,14.09
038,00046,0.570636,0.00042,14.35
039,00046,0.535380,0.00042,14.08
040,00046,0.511115,0.00042,13.99
041,00046,0.535412,0.00042,14.04
042,00046,0.509774,0.00042,14.03
043,00046,0.516712,0.00042,14.10
044,00046,0.491373,0.00042,14.05
045,00046,0.510424,0.00042,14.05
046,00046,0.501617,0.00042,13.83
047,00046,0.502220,0.00041,13.88
048,00046,0.500531,0.00041,13.78
049,00046,0.468202,0.00041,13.81
050,00046,0.522476,0.00041,13.66
051,00046,0.503031,0.00041,13.73
052,00046,0.469543,0.00041,13.56
053,00046,0.456515,0.00041,13.79
054,00046,0.475968,0.00041,13.71
055,00046,0.445911,0.00041,13.55
056,00046,0.476844,0.00041,13.37
057,00046,0.460288,0.00040,13.34
058,00046,0.464196,0.00041,13.51
059,00046,0.433034,0.00040,13.54
060,00046,0.448137,0.00040,13.31
061,00046,0.432226,0.00040,13.47
062,00046,0.475908,0.00040,13.57
063,00046,0.431829,0.00040,13.31
064,00046,0.454282,0.00040,13.30
065,00046,0.431942,0.00040,13.34
066,00046,0.471030,0.00040,13.28
067,00046,0.454118,0.00040,13.46
068,00046,0.445894,0.00040,13.39
069,00046,0.435685,0.00040,13.26
070,00046,0.438181,0.00040,13.38
071,00046,0.450411,0.00040,13.34
072,00046,0.390666,0.00040,13.22
073,00046,0.451111,0.00040,13.29
074,00045,0.415176,0.00040,13.36
075,00046,0.454962,0.00040,13.28
076,00046,0.407080,0.00040,13.39
077,00046,0.392920,0.00040,13.27
078,00045,0.425127,0.00040,13.31
079,00046,0.428876,0.00040,13.24
080,00046,0.436850,0.00040,13.16
081,00046,0.420724,0.00040,13.37
082,00046,0.409092,0.00040,13.37
083,00046,0.384027,0.00040,13.35
084,00046,0.403062,0.00040,13.25
085,00046,0.454893,0.00040,13.17
086,00046,0.413432,0.00040,13.16
087,00046,0.437103,0.00040,13.28
088,00046,0.422945,0.00040,13.22
089,00046,0.422225,0.00040,13.19
090,00046,0.394778,0.00040,13.33
091,00045,0.423938,0.00040,13.20
092,00046,0.406066,0.00040,13.36
093,00046,0.412023,0.00040,13.18
094,00046,0.404043,0.00040,13.26
095,00000,0.000000,0.00000,19.25
