epoch,time(s),train_loss,test_loss,test_error(%)
001,00038,1.310855,0.00121,43.75
002,00035,1.022581,0.00095,33.61
003,00036,0.890550,0.00075,26.34
004,00035,0.824669,0.00077,26.49
005,00035,0.806258,0.00067,22.78
006,00035,0.754959,0.00062,21.13
007,00035,0.701888,0.00059,19.67
008,00035,0.685298,0.00055,19.09
009,00035,0.659171,0.00056,18.60
010,00036,0.704162,0.00051,17.08
011,00036,0.677922,0.00058,19.88
012,00036,0.695875,0.00066,22.30
013,00036,0.665801,0.00056,19.15
014,00036,0.657086,0.00066,23.15
015,00036,0.622190,0.00047,16.01
016,00036,0.599992,0.00047,15.29
017,00036,0.574068,0.00051,17.75
018,00035,0.617411,0.00053,18.24
019,00036,0.612459,0.00062,21.55
020,00035,0.582825,0.00045,14.84
021,00036,0.594798,0.00043,15.03
022,00036,0.611371,0.00047,15.62
023,00035,0.604425,0.00046,15.77
024,00035,0.586324,0.00047,16.21
025,00035,0.567247,0.00044,14.76
026,00035,0.577143,0.00040,13.31
027,00035,0.543504,0.00047,15.96
028,00035,0.576609,0.00041,13.51
029,00035,0.533381,0.00045,15.55
030,00035,0.540494,0.00047,16.36
031,00036,0.520768,0.00039,12.97
032,00036,0.547915,0.00042,14.49
033,00035,0.525351,0.00046,15.43
034,00035,0.563635,0.00047,15.77
035,00035,0.546595,0.00046,15.38
036,00035,0.517034,0.00039,13.17
037,00035,0.519269,0.00045,15.23
038,00036,0.529303,0.00041,13.34
039,00035,0.508980,0.00046,15.61
040,00036,0.522579,0.00040,13.71
041,00036,0.511863,0.00039,13.49
042,00035,0.543625,0.00037,11.95
043,00036,0.540619,0.00039,12.83
044,00035,0.491073,0.00040,13.42
045,00035,0.481335,0.00038,12.66
046,00035,0.501269,0.00037,11.93
047,00035,0.461642,0.00039,12.91
048,00036,0.470315,0.00038,12.74
049,00035,0.496757,0.00036,12.47
050,00036,0.466012,0.00032,11.05
051,00036,0.450827,0.00033,10.80
052,00035,0.419918,0.00031,10.12
053,00036,0.442678,0.00038,12.82
054,00035,0.410173,0.00030,10.00
055,00036,0.431125,0.00032,10.54
056,00035,0.433089,0.00033,11.02
057,00035,0.418680,0.00035,11.87
058,00036,0.415705,0.00031,10.83
059,00035,0.439296,0.00031,10.56
060,00035,0.399279,0.00029,9.70
061,00036,0.392869,0.00028,9.42
062,00035,0.394829,0.00030,10.29
063,00035,0.344986,0.00026,8.96
064,00035,0.344109,0.00028,9.59
065,00035,0.375836,0.00025,8.67
066,00036,0.376918,0.00025,8.25
067,00035,0.387661,0.00024,8.03
068,00035,0.354871,0.00027,9.02
069,00036,0.321367,0.00023,7.56
070,00035,0.368592,0.00026,8.79
071,00035,0.341626,0.00024,8.22
072,00036,0.319127,0.00023,7.69
073,00035,0.296416,0.00022,7.75
074,00035,0.317617,0.00023,7.94
075,00035,0.295481,0.00022,7.67
076,00035,0.273763,0.00023,7.59
077,00035,0.279423,0.00020,6.58
078,00035,0.286356,0.00023,7.70
079,00036,0.238176,0.00020,6.93
080,00035,0.250159,0.00020,6.72
081,00035,0.248575,0.00020,6.69
082,00035,0.230431,0.00019,6.49
083,00035,0.213902,0.00018,6.25
084,00035,0.208877,0.00018,5.93
085,00036,0.193815,0.00017,5.88
086,00035,0.185187,0.00018,6.12
087,00035,0.209178,0.00018,6.03
088,00035,0.172483,0.00017,5.53
089,00035,0.132663,0.00016,5.33
090,00035,0.127432,0.00016,5.37
091,00035,0.141568,0.00016,5.14
092,00035,0.130652,0.00016,5.16
093,00035,0.111428,0.00015,4.96
094,00035,0.143495,0.00015,4.88
095,00035,0.114022,0.00015,5.12
096,00036,0.119602,0.00015,4.88
097,00035,0.104472,0.00015,5.00
098,00035,0.110952,0.00015,4.75
099,00035,0.103836,0.00015,4.83
100,00035,0.104883,0.00015,4.79
101,00000,0.000000,0.00000,11.08
