epoch,time(s),train_loss,test_loss,test_error(%)
001,00048,2.239199,0.00216,78.51
002,00046,2.142990,0.00209,76.34
003,00046,2.106572,0.00203,76.12
004,00046,2.041622,0.00195,73.27
005,00046,1.955624,0.00185,68.68
006,00046,1.911166,0.00178,67.20
007,00046,1.870702,0.00171,61.66
008,00046,1.812346,0.00168,62.65
009,00046,1.769693,0.00158,57.31
010,00046,1.758344,0.00158,56.13
011,00046,1.721876,0.00154,55.96
012,00046,1.719191,0.00150,53.24
013,00046,1.708136,0.00150,55.26
014,00046,1.742222,0.00153,54.41
015,00046,1.687140,0.00146,51.72
016,00046,1.683580,0.00149,54.21
017,00046,1.714340,0.00148,51.90
018,00046,1.668681,0.00144,52.21
019,00046,1.672687,0.00147,52.07
020,00046,1.691659,0.00146,52.02
021,00046,1.673381,0.00145,50.28
022,00046,1.676262,0.00143,51.68
023,00046,1.648271,0.00145,52.43
024,00046,1.638979,0.00140,49.26
025,00046,1.636784,0.00141,49.94
026,00046,1.650625,0.00142,49.89
027,00046,1.641131,0.00141,50.67
028,00046,1.645799,0.00143,51.71
029,00046,1.603489,0.00137,49.22
030,00046,1.621547,0.00139,49.46
031,00046,1.633765,0.00146,53.12
032,00046,1.620580,0.00139,49.82
033,00046,1.616373,0.00139,49.23
034,00046,1.610425,0.00136,48.74
035,00046,1.616236,0.00137,48.68
036,00046,1.668842,0.00138,48.40
037,00046,1.576513,0.00135,48.36
038,00046,1.606359,0.00137,49.59
039,00046,1.615395,0.00138,48.66
040,00046,1.596531,0.00135,48.33
041,00046,1.597925,0.00140,50.23
042,00046,1.586245,0.00139,49.88
043,00046,1.608881,0.00134,47.69
044,00046,1.579523,0.00134,47.22
045,00046,1.608184,0.00137,48.35
046,00046,1.561346,0.00136,48.86
047,00046,1.608365,0.00135,46.97
048,00046,1.580013,0.00134,47.51
049,00046,1.602029,0.00134,46.41
050,00045,1.586036,0.00133,46.52
051,00046,1.603775,0.00131,45.91
052,00046,1.566342,0.00133,47.01
053,00046,1.536087,0.00131,46.34
054,00046,1.559245,0.00131,46.94
055,00046,1.549056,0.00132,46.46
056,00046,1.518683,0.00130,46.17
057,00046,1.559512,0.00130,45.42
058,00046,1.538191,0.00131,46.67
059,00046,1.564193,0.00128,45.12
060,00046,1.548686,0.00126,44.38
061,00046,1.592035,0.00132,45.80
062,00046,1.544985,0.00128,44.79
063,00046,1.510692,0.00125,43.92
064,00046,1.527659,0.00127,44.79
065,00046,1.538549,0.00128,44.52
066,00046,1.518837,0.00126,44.66
067,00046,1.506147,0.00128,45.27
068,00046,1.492724,0.00127,44.05
069,00046,1.507228,0.00125,44.07
070,00046,1.489956,0.00125,43.82
071,00046,1.535632,0.00126,44.64
072,00046,1.474995,0.00123,42.86
073,00046,1.479257,0.00123,42.60
074,00046,1.518148,0.00123,42.74
075,00046,1.487232,0.00122,42.64
076,00046,1.475325,0.00124,43.21
077,00046,1.477844,0.00123,43.03
078,00046,1.452716,0.00121,42.32
079,00046,1.459392,0.00120,42.09
080,00046,1.487412,0.00122,42.49
081,00046,1.469023,0.00121,42.17
082,00046,1.452058,0.00120,41.88
083,00046,1.475406,0.00121,42.14
084,00046,1.433736,0.00120,41.43
085,00045,1.446620,0.00119,42.03
086,00046,1.447616,0.00118,40.84
087,00046,1.453595,0.00118,40.91
088,00046,1.433879,0.00118,40.90
089,00046,1.435924,0.00116,40.46
090,00046,1.412256,0.00117,40.24
091,00046,1.427697,0.00117,40.38
092,00046,1.381439,0.00116,40.36
093,00046,1.427368,0.00116,39.70
094,00046,1.411683,0.00115,39.84
095,00045,1.397003,0.00115,39.90
096,00046,1.408058,0.00115,39.72
097,00045,1.393557,0.00115,39.78
098,00046,1.404769,0.00114,39.63
099,00045,1.388737,0.00115,39.76
100,00046,1.435338,0.00115,39.72
101,00000,0.000000,0.00000,44.89
