epoch,time(s),train_loss,test_loss,test_error(%)
001,00047,2.307904,0.00233,90.00
002,00046,2.308610,0.00231,90.00
003,00046,2.123663,0.00206,76.36
004,00046,1.922307,0.00177,64.13
005,00046,1.797387,0.00159,57.80
006,00046,1.763319,0.00153,55.39
007,00046,1.697219,0.00146,51.42
008,00046,1.658796,0.00145,50.82
009,00046,1.632824,0.00145,52.20
010,00046,1.664033,0.00139,48.09
011,00046,1.595656,0.00142,50.08
012,00046,1.594253,0.00138,48.36
013,00046,1.625899,0.00138,47.73
014,00046,1.645801,0.00139,48.63
015,00046,1.570756,0.00134,46.89
016,00046,1.548193,0.00133,47.84
017,00046,1.583041,0.00137,50.36
018,00046,1.566991,0.00136,47.53
019,00046,1.577394,0.00136,47.31
020,00046,1.565427,0.00141,50.10
021,00046,1.530171,0.00132,46.84
022,00046,1.572563,0.00130,45.63
023,00046,1.537141,0.00131,45.20
024,00046,1.498109,0.00128,44.83
025,00046,1.547717,0.00128,44.40
026,00046,1.506176,0.00126,44.00
027,00046,1.488748,0.00125,44.25
028,00046,1.500761,0.00125,43.04
029,00046,1.505398,0.00128,44.18
030,00046,1.490475,0.00125,44.81
031,00046,1.490423,0.00126,42.20
032,00046,1.456493,0.00122,42.05
033,00046,1.470851,0.00123,42.03
034,00046,1.467555,0.00121,41.79
035,00046,1.466185,0.00121,43.10
036,00046,1.454411,0.00120,41.48
037,00046,1.467831,0.00121,42.19
038,00046,1.453363,0.00120,41.33
039,00046,1.454295,0.00121,41.46
040,00046,1.384653,0.00115,40.41
041,00046,1.454497,0.00117,39.95
042,00046,1.433380,0.00116,40.03
043,00046,1.420242,0.00117,40.21
044,00046,1.430867,0.00116,40.34
045,00046,1.381024,0.00117,41.23
046,00046,1.394629,0.00114,39.03
047,00046,1.371901,0.00115,39.58
048,00046,1.408283,0.00111,38.08
049,00046,1.374673,0.00117,40.16
050,00046,1.410074,0.00113,38.72
051,00046,1.389608,0.00112,38.48
052,00046,1.403705,0.00110,37.42
053,00046,1.375568,0.00110,37.83
054,00046,1.372986,0.00108,36.68
055,00046,1.394268,0.00110,37.40
056,00046,1.364974,0.00115,38.88
057,00046,1.346870,0.00110,38.10
058,00046,1.344615,0.00107,36.47
059,00046,1.346169,0.00108,37.05
060,00046,1.348822,0.00107,36.05
061,00046,1.342016,0.00107,36.57
062,00046,1.325313,0.00106,35.94
063,00046,1.302927,0.00106,35.75
064,00046,1.367447,0.00110,37.58
065,00046,1.354618,0.00110,37.88
066,00046,1.302553,0.00103,35.48
067,00046,1.293755,0.00104,35.29
068,00046,1.298451,0.00103,34.37
069,00046,1.281750,0.00104,34.94
070,00046,1.324869,0.00104,34.93
071,00046,1.279088,0.00100,33.68
072,00046,1.260267,0.00101,34.89
073,00046,1.248864,0.00101,33.88
074,00046,1.263004,0.00100,33.94
075,00046,1.293755,0.00101,33.68
076,00046,1.262916,0.00098,32.72
077,00046,1.271125,0.00098,33.36
078,00046,1.232720,0.00098,32.98
079,00046,1.210751,0.00096,32.72
080,00046,1.234091,0.00096,32.43
081,00046,1.257937,0.00099,34.04
082,00046,1.247125,0.00096,32.36
083,00046,1.238045,0.00095,31.75
084,00046,1.203717,0.00094,32.02
085,00046,1.215247,0.00094,31.70
086,00046,1.194519,0.00095,31.98
087,00046,1.179368,0.00093,31.05
088,00046,1.217843,0.00094,31.77
089,00046,1.202601,0.00093,31.87
090,00046,1.193767,0.00093,31.45
091,00046,1.162514,0.00092,30.97
092,00046,1.182569,0.00093,31.28
093,00046,1.149829,0.00092,30.71
094,00046,1.166936,0.00091,30.42
095,00046,1.140136,0.00091,30.29
096,00046,1.134368,0.00090,30.01
097,00046,1.148269,0.00091,30.35
098,00046,1.168412,0.00090,30.06
099,00046,1.155713,0.00090,30.02
100,00046,1.157262,0.00090,30.08
101,00000,0.000000,0.00000,36.90
