epoch,time(s),train_loss,test_loss,test_error(%)
001,00046,1.821387,0.00169,62.08
002,00045,1.636903,0.00144,51.94
003,00045,1.489250,0.00132,46.18
004,00045,1.352060,0.00113,38.25
005,00045,1.282353,0.00109,38.22
006,00045,1.194528,0.00107,37.63
007,00045,1.148072,0.00096,32.67
008,00045,1.119064,0.00089,29.92
009,00045,1.119594,0.00090,30.16
010,00045,1.098520,0.00089,30.25
011,00045,1.081503,0.00083,27.24
012,00045,1.060726,0.00095,32.55
013,00045,1.047810,0.00081,27.72
014,00045,1.012008,0.00078,26.00
015,00045,1.045921,0.00084,28.37
016,00045,1.018930,0.00081,27.30
017,00045,0.974726,0.00083,28.27
018,00045,0.981721,0.00076,25.41
019,00045,0.995048,0.00078,26.01
020,00045,0.976343,0.00074,24.47
021,00045,0.963782,0.00076,25.39
022,00045,0.979938,0.00077,25.82
023,00045,0.975844,0.00080,27.15
024,00045,0.900694,0.00070,23.10
025,00045,0.923123,0.00072,23.40
026,00045,0.885739,0.00073,24.04
027,00045,0.913670,0.00072,23.73
028,00045,0.950381,0.00074,24.42
029,00045,0.940181,0.00070,22.83
030,00045,0.905503,0.00073,24.65
031,00045,0.921945,0.00077,25.50
032,00045,0.859293,0.00069,23.12
033,00045,0.902668,0.00070,23.84
034,00045,0.896246,0.00068,22.77
035,00045,0.886998,0.00067,21.97
036,00045,0.836948,0.00068,22.60
037,00045,0.875157,0.00069,22.70
038,00045,0.866120,0.00068,22.09
039,00045,0.846552,0.00066,22.21
040,00045,0.878176,0.00068,22.78
041,00045,0.860403,0.00068,23.76
042,00045,0.840410,0.00067,22.22
043,00045,0.802344,0.00063,20.83
044,00045,0.854790,0.00067,22.39
045,00045,0.811204,0.00061,20.31
046,00045,0.833444,0.00064,21.24
047,00045,0.835735,0.00065,21.27
048,00045,0.741030,0.00060,20.25
049,00045,0.785264,0.00060,19.65
050,00045,0.791296,0.00063,22.04
051,00045,0.774931,0.00060,20.17
052,00045,0.763140,0.00058,18.95
053,00045,0.791501,0.00059,19.60
054,00045,0.767178,0.00057,18.61
055,00045,0.762820,0.00056,18.42
056,00045,0.748255,0.00055,18.40
057,00045,0.745543,0.00055,18.05
058,00045,0.740800,0.00056,18.76
059,00045,0.698478,0.00055,18.67
060,00045,0.731080,0.00056,19.41
061,00045,0.722744,0.00053,17.49
062,00045,0.702649,0.00054,18.19
063,00045,0.731336,0.00054,18.00
064,00045,0.700922,0.00051,16.84
065,00045,0.696718,0.00051,16.51
066,00045,0.639698,0.00051,17.33
067,00045,0.644951,0.00047,15.96
068,00045,0.680731,0.00048,15.83
069,00045,0.689573,0.00049,16.08
070,00045,0.655933,0.00047,15.60
071,00045,0.624674,0.00048,16.21
072,00045,0.620867,0.00045,14.99
073,00045,0.581549,0.00047,15.85
074,00045,0.630146,0.00047,15.71
075,00045,0.615546,0.00044,15.05
076,00045,0.600195,0.00043,14.19
077,00045,0.556244,0.00044,14.84
078,00045,0.560135,0.00042,13.82
079,00045,0.523079,0.00041,13.85
080,00045,0.552586,0.00041,13.95
081,00045,0.519761,0.00040,13.35
082,00045,0.555960,0.00041,13.59
083,00045,0.500838,0.00040,13.17
084,00045,0.494480,0.00039,13.41
085,00045,0.491845,0.00037,12.69
086,00045,0.486873,0.00039,12.91
087,00045,0.437447,0.00037,12.26
088,00045,0.461308,0.00036,12.44
089,00045,0.455793,0.00036,12.05
090,00045,0.424469,0.00035,11.81
091,00045,0.403200,0.00035,11.58
092,00045,0.404568,0.00034,11.50
093,00045,0.415413,0.00034,11.60
094,00045,0.416717,0.00033,11.36
095,00045,0.371153,0.00033,11.22
096,00045,0.402636,0.00033,11.09
097,00045,0.397269,0.00033,11.17
098,00045,0.381602,0.00033,11.09
099,00045,0.356537,0.00033,11.14
100,00045,0.377931,0.00033,11.15
101,00000,0.000000,0.00000,16.84
