epoch,time(s),train_loss,test_loss,test_error(%)
001,00047,2.247130,0.00200,73.26
002,00046,1.877395,0.00173,64.43
003,00046,1.708547,0.00156,57.85
004,00045,1.641242,0.00148,52.50
005,00045,1.527128,0.00129,46.00
006,00045,1.442199,0.00122,41.82
007,00045,1.382028,0.00115,39.16
008,00045,1.331366,0.00112,39.81
009,00045,1.278987,0.00102,34.79
010,00045,1.248278,0.00102,34.90
011,00045,1.213319,0.00101,33.72
012,00045,1.207668,0.00091,29.93
013,00045,1.157875,0.00100,34.36
014,00045,1.111382,0.00089,29.76
015,00045,1.096584,0.00086,29.71
016,00045,1.098380,0.00084,28.28
017,00045,1.062620,0.00090,30.87
018,00045,1.075360,0.00082,26.86
019,00045,1.044313,0.00080,26.77
020,00045,1.033850,0.00080,27.14
021,00045,1.029777,0.00082,27.75
022,00045,0.993169,0.00089,29.48
023,00045,0.999807,0.00076,26.02
024,00045,0.992718,0.00077,26.06
025,00045,0.990071,0.00079,26.81
026,00045,0.997007,0.00074,24.46
027,00045,1.004103,0.00078,25.60
028,00045,0.992100,0.00072,24.37
029,00045,0.982057,0.00078,25.52
030,00045,0.953871,0.00072,23.93
031,00045,0.976560,0.00075,24.84
032,00045,0.961046,0.00073,24.09
033,00045,0.936946,0.00073,24.68
034,00045,0.928177,0.00074,24.97
035,00045,0.921848,0.00070,23.14
036,00045,0.934872,0.00076,26.43
037,00045,0.930591,0.00079,27.23
038,00045,0.949771,0.00072,23.09
039,00045,0.908520,0.00069,22.94
040,00045,0.884151,0.00067,22.39
041,00045,0.910197,0.00070,23.31
042,00045,0.862522,0.00071,24.18
043,00045,0.885144,0.00067,22.48
044,00045,0.860822,0.00069,23.24
045,00045,0.866490,0.00066,20.82
046,00045,0.844518,0.00063,20.64
047,00045,0.848501,0.00065,21.43
048,00045,0.907613,0.00072,23.90
049,00045,0.826750,0.00061,20.84
050,00045,0.832757,0.00065,22.01
051,00045,0.860748,0.00062,20.58
052,00045,0.828214,0.00064,20.80
053,00045,0.812645,0.00062,20.36
054,00045,0.844524,0.00062,20.65
055,00045,0.825090,0.00057,18.46
056,00045,0.809324,0.00060,19.78
057,00045,0.785527,0.00059,19.42
058,00045,0.785804,0.00059,20.10
059,00045,0.737804,0.00059,19.76
060,00045,0.763735,0.00057,18.67
061,00045,0.776404,0.00057,18.99
062,00045,0.735779,0.00056,18.30
063,00045,0.726546,0.00056,18.44
064,00045,0.737480,0.00056,18.92
065,00045,0.764954,0.00056,19.02
066,00045,0.739814,0.00054,17.84
067,00045,0.738876,0.00053,17.74
068,00045,0.733928,0.00054,17.75
069,00045,0.723982,0.00052,16.77
070,00045,0.695264,0.00051,16.95
071,00045,0.687883,0.00050,16.33
072,00045,0.660073,0.00053,18.27
073,00045,0.681146,0.00051,17.33
074,00045,0.665605,0.00050,16.60
075,00045,0.665751,0.00050,17.11
076,00045,0.634893,0.00048,16.10
077,00045,0.646474,0.00047,15.57
078,00045,0.626228,0.00046,15.64
079,00045,0.617355,0.00047,15.50
080,00045,0.614550,0.00046,15.88
081,00045,0.588627,0.00045,15.11
082,00045,0.585347,0.00043,14.52
083,00045,0.563840,0.00043,14.33
084,00045,0.560480,0.00043,14.00
085,00045,0.587040,0.00042,14.38
086,00045,0.557098,0.00041,13.65
087,00045,0.525876,0.00041,14.05
088,00045,0.531444,0.00041,13.45
089,00045,0.523395,0.00040,13.03
090,00045,0.488800,0.00039,13.17
091,00045,0.502054,0.00039,13.10
092,00045,0.467728,0.00038,12.93
093,00045,0.459522,0.00038,12.63
094,00045,0.451983,0.00037,12.53
095,00045,0.477055,0.00037,12.32
096,00045,0.458603,0.00037,12.42
097,00045,0.456677,0.00037,12.41
098,00045,0.435923,0.00037,12.38
099,00045,0.444571,0.00037,12.24
100,00045,0.426884,0.00037,12.28
101,00000,0.000000,0.00000,18.08
